name,cal,pro,carb,fat,category
烤雞沙拉 (300g),960.0,96.0,45.0,45.0,西式
牛排 (半份),225.0,22.5,0.0,14.0,西式
牛排 (小份),337.5,33.8,0.0,21.0,西式
牛排 (1份),450.0,45.0,0.0,28.0,西式
牛排 (1.25份),562.5,56.2,0.0,35.0,西式
牛排 (1.5份),675.0,67.5,0.0,42.0,西式
牛排 (2份),900.0,90.0,0.0,56.0,西式
牛排 (2.5份),1125.0,112.5,0.0,70.0,西式
牛排 (3份),1350.0,135.0,0.0,84.0,西式
牛排 (小碗),337.5,33.8,0.0,21.0,西式
牛排 (中碗),450.0,45.0,0.0,28.0,西式
牛排 (大碗),607.5,60.8,0.0,37.8,西式
牛排 (小杯),337.5,33.8,0.0,21.0,西式
牛排 (中杯),450.0,45.0,0.0,28.0,西式
牛排 (大杯),630.0,63.0,0.0,39.2,西式
牛排 (小盒),337.5,33.8,0.0,21.0,西式
牛排 (中盒),450.0,45.0,0.0,28.0,西式
牛排 (大盒),630.0,63.0,0.0,39.2,西式
牛排 (100g),450.0,45.0,0.0,28.0,西式
牛排 (150g),675.0,67.5,0.0,42.0,西式
牛排 (200g),900.0,90.0,0.0,56.0,西式
牛排 (250g),1125.0,112.5,0.0,70.0,西式
牛排 (300g),1350.0,135.0,0.0,84.0,西式
雞排 (半份),165.0,16.0,6.0,9.0,西式
雞排 (小份),247.5,24.0,9.0,13.5,西式
雞排 (1份),330.0,32.0,12.0,18.0,西式
雞排 (1.25份),412.5,40.0,15.0,22.5,西式
雞排 (1.5份),495.0,48.0,18.0,27.0,西式
雞排 (2份),660.0,64.0,24.0,36.0,西式
雞排 (2.5份),825.0,80.0,30.0,45.0,西式
雞排 (3份),990.0,96.0,36.0,54.0,西式
雞排 (小碗),247.5,24.0,9.0,13.5,西式
雞排 (中碗),330.0,32.0,12.0,18.0,西式
雞排 (大碗),445.5,43.2,16.2,24.3,西式
雞排 (小杯),247.5,24.0,9.0,13.5,西式
雞排 (中杯),330.0,32.0,12.0,18.0,西式
雞排 (大杯),462.0,44.8,16.8,25.2,西式
雞排 (小盒),247.5,24.0,9.0,13.5,西式
雞排 (中盒),330.0,32.0,12.0,18.0,西式
雞排 (大盒),462.0,44.8,16.8,25.2,西式
雞排 (100g),330.0,32.0,12.0,18.0,西式
雞排 (150g),495.0,48.0,18.0,27.0,西式
雞排 (200g),660.0,64.0,24.0,36.0,西式
雞排 (250g),825.0,80.0,30.0,45.0,西式
雞排 (300g),990.0,96.0,36.0,54.0,西式
焗烤飯 (半份),340.0,12.0,35.0,16.0,西式
焗烤飯 (小份),510.0,18.0,52.5,24.0,西式
焗烤飯 (1份),680.0,24.0,70.0,32.0,西式
焗烤飯 (1.25份),850.0,30.0,87.5,40.0,西式
焗烤飯 (1.5份),1020.0,36.0,105.0,48.0,西式
焗烤飯 (2份),1360.0,48.0,140.0,64.0,西式
焗烤飯 (2.5份),1700.0,60.0,175.0,80.0,西式
焗烤飯 (3份),2040.0,72.0,210.0,96.0,西式
焗烤飯 (小碗),510.0,18.0,52.5,24.0,西式
焗烤飯 (中碗),680.0,24.0,70.0,32.0,西式
焗烤飯 (大碗),918.0,32.4,94.5,43.2,西式
焗烤飯 (小杯),510.0,18.0,52.5,24.0,西式
焗烤飯 (中杯),680.0,24.0,70.0,32.0,西式
焗烤飯 (大杯),952.0,33.6,98.0,44.8,西式
焗烤飯 (小盒),510.0,18.0,52.5,24.0,西式
焗烤飯 (中盒),680.0,24.0,70.0,32.0,西式
焗烤飯 (大盒),952.0,33.6,98.0,44.8,西式
焗烤飯 (100g),680.0,24.0,70.0,32.0,西式
焗烤飯 (150g),1020.0,36.0,105.0,48.0,西式
焗烤飯 (200g),1360.0,48.0,140.0,64.0,西式
焗烤飯 (250g),1700.0,60.0,175.0,80.0,西式
焗烤飯 (300g),2040.0,72.0,210.0,96.0,西式
焗烤義大利麵 (半份),360.0,12.5,36.0,17.0,西式
焗烤義大利麵 (小份),540.0,18.8,54.0,25.5,西式
焗烤義大利麵 (1份),720.0,25.0,72.0,34.0,西式
焗烤義大利麵 (1.25份),900.0,31.2,90.0,42.5,西式
焗烤義大利麵 (1.5份),1080.0,37.5,108.0,51.0,西式
焗烤義大利麵 (2份),1440.0,50.0,144.0,68.0,西式
焗烤義大利麵 (2.5份),1800.0,62.5,180.0,85.0,西式
焗烤義大利麵 (3份),2160.0,75.0,216.0,102.0,西式
焗烤義大利麵 (小碗),540.0,18.8,54.0,25.5,西式
焗烤義大利麵 (中碗),720.0,25.0,72.0,34.0,西式
焗烤義大利麵 (大碗),972.0,33.8,97.2,45.9,西式
焗烤義大利麵 (小杯),540.0,18.8,54.0,25.5,西式
焗烤義大利麵 (中杯),720.0,25.0,72.0,34.0,西式
焗烤義大利麵 (大杯),1008.0,35.0,100.8,47.6,西式
焗烤義大利麵 (小盒),540.0,18.8,54.0,25.5,西式
焗烤義大利麵 (中盒),720.0,25.0,72.0,34.0,西式
焗烤義大利麵 (大盒),1008.0,35.0,100.8,47.6,西式
焗烤義大利麵 (100g),720.0,25.0,72.0,34.0,西式
焗烤義大利麵 (150g),1080.0,37.5,108.0,51.0,西式
焗烤義大利麵 (200g),1440.0,50.0,144.0,68.0,西式
焗烤義大利麵 (250g),1800.0,62.5,180.0,85.0,西式
焗烤義大利麵 (300g),2160.0,75.0,216.0,102.0,西式
番茄義大利麵 (半份),240.0,7.5,38.0,6.0,西式
番茄義大利麵 (小份),360.0,11.2,57.0,9.0,西式
番茄義大利麵 (1份),480.0,15.0,76.0,12.0,西式
番茄義大利麵 (1.25份),600.0,18.8,95.0,15.0,西式
番茄義大利麵 (1.5份),720.0,22.5,114.0,18.0,西式
番茄義大利麵 (2份),960.0,30.0,152.0,24.0,西式
番茄義大利麵 (2.5份),1200.0,37.5,190.0,30.0,西式
番茄義大利麵 (3份),1440.0,45.0,228.0,36.0,西式
番茄義大利麵 (小碗),360.0,11.2,57.0,9.0,西式
番茄義大利麵 (中碗),480.0,15.0,76.0,12.0,西式
番茄義大利麵 (大碗),648.0,20.2,102.6,16.2,西式
番茄義大利麵 (小杯),360.0,11.2,57.0,9.0,西式
番茄義大利麵 (中杯),480.0,15.0,76.0,12.0,西式
番茄義大利麵 (大杯),672.0,21.0,106.4,16.8,西式
番茄義大利麵 (小盒),360.0,11.2,57.0,9.0,西式
番茄義大利麵 (中盒),480.0,15.0,76.0,12.0,西式
番茄義大利麵 (大盒),672.0,21.0,106.4,16.8,西式
番茄義大利麵 (100g),480.0,15.0,76.0,12.0,西式
番茄義大利麵 (150g),720.0,22.5,114.0,18.0,西式
番茄義大利麵 (200g),960.0,30.0,152.0,24.0,西式
番茄義大利麵 (250g),1200.0,37.5,190.0,30.0,西式
番茄義大利麵 (300g),1440.0,45.0,228.0,36.0,西式
奶油義大利麵 (半份),325.0,9.0,35.0,15.0,西式
奶油義大利麵 (小份),487.5,13.5,52.5,22.5,西式
奶油義大利麵 (1份),650.0,18.0,70.0,30.0,西式
奶油義大利麵 (1.25份),812.5,22.5,87.5,37.5,西式
奶油義大利麵 (1.5份),975.0,27.0,105.0,45.0,西式
奶油義大利麵 (2份),1300.0,36.0,140.0,60.0,西式
奶油義大利麵 (2.5份),1625.0,45.0,175.0,75.0,西式
奶油義大利麵 (3份),1950.0,54.0,210.0,90.0,西式
奶油義大利麵 (小碗),487.5,13.5,52.5,22.5,西式
奶油義大利麵 (中碗),650.0,18.0,70.0,30.0,西式
奶油義大利麵 (大碗),877.5,24.3,94.5,40.5,西式
奶油義大利麵 (小杯),487.5,13.5,52.5,22.5,西式
奶油義大利麵 (中杯),650.0,18.0,70.0,30.0,西式
奶油義大利麵 (大杯),910.0,25.2,98.0,42.0,西式
奶油義大利麵 (小盒),487.5,13.5,52.5,22.5,西式
奶油義大利麵 (中盒),650.0,18.0,70.0,30.0,西式
奶油義大利麵 (大盒),910.0,25.2,98.0,42.0,西式
奶油義大利麵 (100g),650.0,18.0,70.0,30.0,西式
奶油義大利麵 (150g),975.0,27.0,105.0,45.0,西式
奶油義大利麵 (200g),1300.0,36.0,140.0,60.0,西式
奶油義大利麵 (250g),1625.0,45.0,175.0,75.0,西式
奶油義大利麵 (300g),1950.0,54.0,210.0,90.0,西式
青醬義大利麵 (半份),310.0,9.0,34.0,14.0,西式
青醬義大利麵 (小份),465.0,13.5,51.0,21.0,西式
青醬義大利麵 (1份),620.0,18.0,68.0,28.0,西式
青醬義大利麵 (1.25份),775.0,22.5,85.0,35.0,西式
青醬義大利麵 (1.5份),930.0,27.0,102.0,42.0,西式
青醬義大利麵 (2份),1240.0,36.0,136.0,56.0,西式
青醬義大利麵 (2.5份),1550.0,45.0,170.0,70.0,西式
青醬義大利麵 (3份),1860.0,54.0,204.0,84.0,西式
青醬義大利麵 (小碗),465.0,13.5,51.0,21.0,西式
青醬義大利麵 (中碗),620.0,18.0,68.0,28.0,西式
青醬義大利麵 (大碗),837.0,24.3,91.8,37.8,西式
青醬義大利麵 (小杯),465.0,13.5,51.0,21.0,西式
青醬義大利麵 (中杯),620.0,18.0,68.0,28.0,西式
青醬義大利麵 (大杯),868.0,25.2,95.2,39.2,西式
青醬義大利麵 (小盒),465.0,13.5,51.0,21.0,西式
青醬義大利麵 (中盒),620.0,18.0,68.0,28.0,西式
青醬義大利麵 (大盒),868.0,25.2,95.2,39.2,西式
青醬義大利麵 (100g),620.0,18.0,68.0,28.0,西式
青醬義大利麵 (150g),930.0,27.0,102.0,42.0,西式
青醬義大利麵 (200g),1240.0,36.0,136.0,56.0,西式
青醬義大利麵 (250g),1550.0,45.0,170.0,70.0,西式
青醬義大利麵 (300g),1860.0,54.0,204.0,84.0,西式
白醬燉飯 (半份),340.0,8.5,37.5,15.5,西式
白醬燉飯 (小份),510.0,12.8,56.2,23.2,西式
白醬燉飯 (1份),680.0,17.0,75.0,31.0,西式
白醬燉飯 (1.25份),850.0,21.2,93.8,38.8,西式
白醬燉飯 (1.5份),1020.0,25.5,112.5,46.5,西式
白醬燉飯 (2份),1360.0,34.0,150.0,62.0,西式
白醬燉飯 (2.5份),1700.0,42.5,187.5,77.5,西式
白醬燉飯 (3份),2040.0,51.0,225.0,93.0,西式
白醬燉飯 (小碗),510.0,12.8,56.2,23.2,西式
白醬燉飯 (中碗),680.0,17.0,75.0,31.0,西式
白醬燉飯 (大碗),918.0,23.0,101.2,41.9,西式
白醬燉飯 (小杯),510.0,12.8,56.2,23.2,西式
白醬燉飯 (中杯),680.0,17.0,75.0,31.0,西式
白醬燉飯 (大杯),952.0,23.8,105.0,43.4,西式
白醬燉飯 (小盒),510.0,12.8,56.2,23.2,西式
白醬燉飯 (中盒),680.0,17.0,75.0,31.0,西式
白醬燉飯 (大盒),952.0,23.8,105.0,43.4,西式
白醬燉飯 (100g),680.0,17.0,75.0,31.0,西式
白醬燉飯 (150g),1020.0,25.5,112.5,46.5,西式
白醬燉飯 (200g),1360.0,34.0,150.0,62.0,西式
白醬燉飯 (250g),1700.0,42.5,187.5,77.5,西式
白醬燉飯 (300g),2040.0,51.0,225.0,93.0,西式
番茄燉飯 (半份),260.0,7.5,38.0,7.5,西式
番茄燉飯 (小份),390.0,11.2,57.0,11.2,西式
番茄燉飯 (1份),520.0,15.0,76.0,15.0,西式
番茄燉飯 (1.25份),650.0,18.8,95.0,18.8,西式
番茄燉飯 (1.5份),780.0,22.5,114.0,22.5,西式
番茄燉飯 (2份),1040.0,30.0,152.0,30.0,西式
番茄燉飯 (2.5份),1300.0,37.5,190.0,37.5,西式
番茄燉飯 (3份),1560.0,45.0,228.0,45.0,西式
番茄燉飯 (小碗),390.0,11.2,57.0,11.2,西式
番茄燉飯 (中碗),520.0,15.0,76.0,15.0,西式
番茄燉飯 (大碗),702.0,20.2,102.6,20.2,西式
番茄燉飯 (小杯),390.0,11.2,57.0,11.2,西式
番茄燉飯 (中杯),520.0,15.0,76.0,15.0,西式
番茄燉飯 (大杯),728.0,21.0,106.4,21.0,西式
番茄燉飯 (小盒),390.0,11.2,57.0,11.2,西式
番茄燉飯 (中盒),520.0,15.0,76.0,15.0,西式
番茄燉飯 (大盒),728.0,21.0,106.4,21.0,西式
番茄燉飯 (100g),520.0,15.0,76.0,15.0,西式
番茄燉飯 (150g),780.0,22.5,114.0,22.5,西式
番茄燉飯 (200g),1040.0,30.0,152.0,30.0,西式
番茄燉飯 (250g),1300.0,37.5,190.0,37.5,西式
番茄燉飯 (300g),1560.0,45.0,228.0,45.0,西式
韓式拌飯 (半份),310.0,11.0,42.0,11.0,韓式
韓式拌飯 (小份),465.0,16.5,63.0,16.5,韓式
韓式拌飯 (1份),620.0,22.0,84.0,22.0,韓式
韓式拌飯 (1.25份),775.0,27.5,105.0,27.5,韓式
韓式拌飯 (1.5份),930.0,33.0,126.0,33.0,韓式
韓式拌飯 (2份),1240.0,44.0,168.0,44.0,韓式
韓式拌飯 (2.5份),1550.0,55.0,210.0,55.0,韓式
韓式拌飯 (3份),1860.0,66.0,252.0,66.0,韓式
韓式拌飯 (小碗),465.0,16.5,63.0,16.5,韓式
韓式拌飯 (中碗),620.0,22.0,84.0,22.0,韓式
韓式拌飯 (大碗),837.0,29.7,113.4,29.7,韓式
韓式拌飯 (小杯),465.0,16.5,63.0,16.5,韓式
韓式拌飯 (中杯),620.0,22.0,84.0,22.0,韓式
韓式拌飯 (大杯),868.0,30.8,117.6,30.8,韓式
韓式拌飯 (小盒),465.0,16.5,63.0,16.5,韓式
韓式拌飯 (中盒),620.0,22.0,84.0,22.0,韓式
韓式拌飯 (大盒),868.0,30.8,117.6,30.8,韓式
韓式拌飯 (100g),620.0,22.0,84.0,22.0,韓式
韓式拌飯 (150g),930.0,33.0,126.0,33.0,韓式
韓式拌飯 (200g),1240.0,44.0,168.0,44.0,韓式
韓式拌飯 (250g),1550.0,55.0,210.0,55.0,韓式
韓式拌飯 (300g),1860.0,66.0,252.0,66.0,韓式
韓式炸雞 (半份),325.0,15.0,22.5,19.0,韓式
韓式炸雞 (小份),487.5,22.5,33.8,28.5,韓式
韓式炸雞 (1份),650.0,30.0,45.0,38.0,韓式
韓式炸雞 (1.25份),812.5,37.5,56.2,47.5,韓式
韓式炸雞 (1.5份),975.0,45.0,67.5,57.0,韓式
韓式炸雞 (2份),1300.0,60.0,90.0,76.0,韓式
韓式炸雞 (2.5份),1625.0,75.0,112.5,95.0,韓式
韓式炸雞 (3份),1950.0,90.0,135.0,114.0,韓式
韓式炸雞 (小碗),487.5,22.5,33.8,28.5,韓式
韓式炸雞 (中碗),650.0,30.0,45.0,38.0,韓式
韓式炸雞 (大碗),877.5,40.5,60.8,51.3,韓式
韓式炸雞 (小杯),487.5,22.5,33.8,28.5,韓式
韓式炸雞 (中杯),650.0,30.0,45.0,38.0,韓式
韓式炸雞 (大杯),910.0,42.0,63.0,53.2,韓式
韓式炸雞 (小盒),487.5,22.5,33.8,28.5,韓式
韓式炸雞 (中盒),650.0,30.0,45.0,38.0,韓式
韓式炸雞 (大盒),910.0,42.0,63.0,53.2,韓式
韓式炸雞 (100g),650.0,30.0,45.0,38.0,韓式
韓式炸雞 (150g),975.0,45.0,67.5,57.0,韓式
韓式炸雞 (200g),1300.0,60.0,90.0,76.0,韓式
韓式炸雞 (250g),1625.0,75.0,112.5,95.0,韓式
韓式炸雞 (300g),1950.0,90.0,135.0,114.0,韓式
韓式泡菜 (半份),15.0,1.0,2.5,0.2,韓式
韓式泡菜 (小份),22.5,1.5,3.8,0.4,韓式
韓式泡菜 (1份),30.0,2.0,5.0,0.5,韓式
韓式泡菜 (1.25份),37.5,2.5,6.2,0.6,韓式
韓式泡菜 (1.5份),45.0,3.0,7.5,0.8,韓式
韓式泡菜 (2份),60.0,4.0,10.0,1.0,韓式
韓式泡菜 (2.5份),75.0,5.0,12.5,1.2,韓式
韓式泡菜 (3份),90.0,6.0,15.0,1.5,韓式
韓式泡菜 (小碗),22.5,1.5,3.8,0.4,韓式
韓式泡菜 (中碗),30.0,2.0,5.0,0.5,韓式
韓式泡菜 (大碗),40.5,2.7,6.8,0.7,韓式
韓式泡菜 (小杯),22.5,1.5,3.8,0.4,韓式
韓式泡菜 (中杯),30.0,2.0,5.0,0.5,韓式
韓式泡菜 (大杯),42.0,2.8,7.0,0.7,韓式
韓式泡菜 (小盒),22.5,1.5,3.8,0.4,韓式
韓式泡菜 (中盒),30.0,2.0,5.0,0.5,韓式
韓式泡菜 (大盒),42.0,2.8,7.0,0.7,韓式
韓式泡菜 (100g),30.0,2.0,5.0,0.5,韓式
韓式泡菜 (150g),45.0,3.0,7.5,0.8,韓式
韓式泡菜 (200g),60.0,4.0,10.0,1.0,韓式
韓式泡菜 (250g),75.0,5.0,12.5,1.2,韓式
韓式泡菜 (300g),90.0,6.0,15.0,1.5,韓式
韓式部隊鍋 (半份),375.0,14.0,32.5,20.0,韓式
韓式部隊鍋 (小份),562.5,21.0,48.8,30.0,韓式
韓式部隊鍋 (1份),750.0,28.0,65.0,40.0,韓式
韓式部隊鍋 (1.25份),937.5,35.0,81.2,50.0,韓式
韓式部隊鍋 (1.5份),1125.0,42.0,97.5,60.0,韓式
韓式部隊鍋 (2份),1500.0,56.0,130.0,80.0,韓式
韓式部隊鍋 (2.5份),1875.0,70.0,162.5,100.0,韓式
韓式部隊鍋 (3份),2250.0,84.0,195.0,120.0,韓式
韓式部隊鍋 (小碗),562.5,21.0,48.8,30.0,韓式
韓式部隊鍋 (中碗),750.0,28.0,65.0,40.0,韓式
韓式部隊鍋 (大碗),1012.5,37.8,87.8,54.0,韓式
韓式部隊鍋 (小杯),562.5,21.0,48.8,30.0,韓式
韓式部隊鍋 (中杯),750.0,28.0,65.0,40.0,韓式
韓式部隊鍋 (大杯),1050.0,39.2,91.0,56.0,韓式
韓式部隊鍋 (小盒),562.5,21.0,48.8,30.0,韓式
韓式部隊鍋 (中盒),750.0,28.0,65.0,40.0,韓式
韓式部隊鍋 (大盒),1050.0,39.2,91.0,56.0,韓式
韓式部隊鍋 (100g),750.0,28.0,65.0,40.0,韓式
韓式部隊鍋 (150g),1125.0,42.0,97.5,60.0,韓式
韓式部隊鍋 (200g),1500.0,56.0,130.0,80.0,韓式
韓式部隊鍋 (250g),1875.0,70.0,162.5,100.0,韓式
韓式部隊鍋 (300g),2250.0,84.0,195.0,120.0,韓式
韓式烤肉 (半份),275.0,17.5,5.0,20.0,韓式
韓式烤肉 (小份),412.5,26.2,7.5,30.0,韓式
韓式烤肉 (1份),550.0,35.0,10.0,40.0,韓式
韓式烤肉 (1.25份),687.5,43.8,12.5,50.0,韓式
韓式烤肉 (1.5份),825.0,52.5,15.0,60.0,韓式
韓式烤肉 (2份),1100.0,70.0,20.0,80.0,韓式
韓式烤肉 (2.5份),1375.0,87.5,25.0,100.0,韓式
韓式烤肉 (3份),1650.0,105.0,30.0,120.0,韓式
韓式烤肉 (小碗),412.5,26.2,7.5,30.0,韓式
韓式烤肉 (中碗),550.0,35.0,10.0,40.0,韓式
韓式烤肉 (大碗),742.5,47.2,13.5,54.0,韓式
韓式烤肉 (小杯),412.5,26.2,7.5,30.0,韓式
韓式烤肉 (中杯),550.0,35.0,10.0,40.0,韓式
韓式烤肉 (大杯),770.0,49.0,14.0,56.0,韓式
韓式烤肉 (小盒),412.5,26.2,7.5,30.0,韓式
韓式烤肉 (中盒),550.0,35.0,10.0,40.0,韓式
韓式烤肉 (大盒),770.0,49.0,14.0,56.0,韓式
韓式烤肉 (100g),550.0,35.0,10.0,40.0,韓式
韓式烤肉 (150g),825.0,52.5,15.0,60.0,韓式
韓式烤肉 (200g),1100.0,70.0,20.0,80.0,韓式
韓式烤肉 (250g),1375.0,87.5,25.0,100.0,韓式
韓式烤肉 (300g),1650.0,105.0,30.0,120.0,韓式
韓式冷麵 (半份),225.0,7.0,39.0,4.0,韓式
韓式冷麵 (小份),337.5,10.5,58.5,6.0,韓式
韓式冷麵 (1份),450.0,14.0,78.0,8.0,韓式
韓式冷麵 (1.25份),562.5,17.5,97.5,10.0,韓式
韓式冷麵 (1.5份),675.0,21.0,117.0,12.0,韓式
韓式冷麵 (2份),900.0,28.0,156.0,16.0,韓式
韓式冷麵 (2.5份),1125.0,35.0,195.0,20.0,韓式
韓式冷麵 (3份),1350.0,42.0,234.0,24.0,韓式
韓式冷麵 (小碗),337.5,10.5,58.5,6.0,韓式
韓式冷麵 (中碗),450.0,14.0,78.0,8.0,韓式
韓式冷麵 (大碗),607.5,18.9,105.3,10.8,韓式
韓式冷麵 (小杯),337.5,10.5,58.5,6.0,韓式
韓式冷麵 (中杯),450.0,14.0,78.0,8.0,韓式
韓式冷麵 (大杯),630.0,19.6,109.2,11.2,韓式
韓式冷麵 (小盒),337.5,10.5,58.5,6.0,韓式
韓式冷麵 (中盒),450.0,14.0,78.0,8.0,韓式
韓式冷麵 (大盒),630.0,19.6,109.2,11.2,韓式
韓式冷麵 (100g),450.0,14.0,78.0,8.0,韓式
韓式冷麵 (150g),675.0,21.0,117.0,12.0,韓式
韓式冷麵 (200g),900.0,28.0,156.0,16.0,韓式
韓式冷麵 (250g),1125.0,35.0,195.0,20.0,韓式
韓式冷麵 (300g),1350.0,42.0,234.0,24.0,韓式
日式拉麵 (半份),300.0,12.5,37.5,10.0,日式
日式拉麵 (小份),450.0,18.8,56.2,15.0,日式
日式拉麵 (1份),600.0,25.0,75.0,20.0,日式
日式拉麵 (1.25份),750.0,31.2,93.8,25.0,日式
日式拉麵 (1.5份),900.0,37.5,112.5,30.0,日式
日式拉麵 (2份),1200.0,50.0,150.0,40.0,日式
日式拉麵 (2.5份),1500.0,62.5,187.5,50.0,日式
日式拉麵 (3份),1800.0,75.0,225.0,60.0,日式
日式拉麵 (小碗),450.0,18.8,56.2,15.0,日式
日式拉麵 (中碗),600.0,25.0,75.0,20.0,日式
日式拉麵 (大碗),810.0,33.8,101.2,27.0,日式
日式拉麵 (小杯),450.0,18.8,56.2,15.0,日式
日式拉麵 (中杯),600.0,25.0,75.0,20.0,日式
日式拉麵 (大杯),840.0,35.0,105.0,28.0,日式
日式拉麵 (小盒),450.0,18.8,56.2,15.0,日式
日式拉麵 (中盒),600.0,25.0,75.0,20.0,日式
日式拉麵 (大盒),840.0,35.0,105.0,28.0,日式
日式拉麵 (100g),600.0,25.0,75.0,20.0,日式
日式拉麵 (150g),900.0,37.5,112.5,30.0,日式
日式拉麵 (200g),1200.0,50.0,150.0,40.0,日式
日式拉麵 (250g),1500.0,62.5,187.5,50.0,日式
日式拉麵 (300g),1800.0,75.0,225.0,60.0,日式
豬排拉麵 (半份),390.0,17.5,39.0,18.0,日式
豬排拉麵 (小份),585.0,26.2,58.5,27.0,日式
豬排拉麵 (1份),780.0,35.0,78.0,36.0,日式
豬排拉麵 (1.25份),975.0,43.8,97.5,45.0,日式
豬排拉麵 (1.5份),1170.0,52.5,117.0,54.0,日式
豬排拉麵 (2份),1560.0,70.0,156.0,72.0,日式
豬排拉麵 (2.5份),1950.0,87.5,195.0,90.0,日式
豬排拉麵 (3份),2340.0,105.0,234.0,108.0,日式
豬排拉麵 (小碗),585.0,26.2,58.5,27.0,日式
豬排拉麵 (中碗),780.0,35.0,78.0,36.0,日式
豬排拉麵 (大碗),1053.0,47.2,105.3,48.6,日式
豬排拉麵 (小杯),585.0,26.2,58.5,27.0,日式
豬排拉麵 (中杯),780.0,35.0,78.0,36.0,日式
豬排拉麵 (大杯),1092.0,49.0,109.2,50.4,日式
豬排拉麵 (小盒),585.0,26.2,58.5,27.0,日式
豬排拉麵 (中盒),780.0,35.0,78.0,36.0,日式
豬排拉麵 (大盒),1092.0,49.0,109.2,50.4,日式
豬排拉麵 (100g),780.0,35.0,78.0,36.0,日式
豬排拉麵 (150g),1170.0,52.5,117.0,54.0,日式
豬排拉麵 (200g),1560.0,70.0,156.0,72.0,日式
豬排拉麵 (250g),1950.0,87.5,195.0,90.0,日式
豬排拉麵 (300g),2340.0,105.0,234.0,108.0,日式
牛肉烏龍麵 (半份),280.0,13.0,35.0,8.5,日式
牛肉烏龍麵 (小份),420.0,19.5,52.5,12.8,日式
牛肉烏龍麵 (1份),560.0,26.0,70.0,17.0,日式
牛肉烏龍麵 (1.25份),700.0,32.5,87.5,21.2,日式
牛肉烏龍麵 (1.5份),840.0,39.0,105.0,25.5,日式
牛肉烏龍麵 (2份),1120.0,52.0,140.0,34.0,日式
牛肉烏龍麵 (2.5份),1400.0,65.0,175.0,42.5,日式
牛肉烏龍麵 (3份),1680.0,78.0,210.0,51.0,日式
牛肉烏龍麵 (小碗),420.0,19.5,52.5,12.8,日式
牛肉烏龍麵 (中碗),560.0,26.0,70.0,17.0,日式
牛肉烏龍麵 (大碗),756.0,35.1,94.5,23.0,日式
牛肉烏龍麵 (小杯),420.0,19.5,52.5,12.8,日式
牛肉烏龍麵 (中杯),560.0,26.0,70.0,17.0,日式
牛肉烏龍麵 (大杯),784.0,36.4,98.0,23.8,日式
牛肉烏龍麵 (小盒),420.0,19.5,52.5,12.8,日式
牛肉烏龍麵 (中盒),560.0,26.0,70.0,17.0,日式
牛肉烏龍麵 (大盒),784.0,36.4,98.0,23.8,日式
牛肉烏龍麵 (100g),560.0,26.0,70.0,17.0,日式
牛肉烏龍麵 (150g),840.0,39.0,105.0,25.5,日式
牛肉烏龍麵 (200g),1120.0,52.0,140.0,34.0,日式
牛肉烏龍麵 (250g),1400.0,65.0,175.0,42.5,日式
牛肉烏龍麵 (300g),1680.0,78.0,210.0,51.0,日式
天婦羅 (半份),210.0,8.0,18.0,12.0,日式
天婦羅 (小份),315.0,12.0,27.0,18.0,日式
天婦羅 (1份),420.0,16.0,36.0,24.0,日式
天婦羅 (1.25份),525.0,20.0,45.0,30.0,日式
天婦羅 (1.5份),630.0,24.0,54.0,36.0,日式
天婦羅 (2份),840.0,32.0,72.0,48.0,日式
天婦羅 (2.5份),1050.0,40.0,90.0,60.0,日式
天婦羅 (3份),1260.0,48.0,108.0,72.0,日式
天婦羅 (小碗),315.0,12.0,27.0,18.0,日式
天婦羅 (中碗),420.0,16.0,36.0,24.0,日式
天婦羅 (大碗),567.0,21.6,48.6,32.4,日式
天婦羅 (小杯),315.0,12.0,27.0,18.0,日式
天婦羅 (中杯),420.0,16.0,36.0,24.0,日式
天婦羅 (大杯),588.0,22.4,50.4,33.6,日式
天婦羅 (小盒),315.0,12.0,27.0,18.0,日式
天婦羅 (中盒),420.0,16.0,36.0,24.0,日式
天婦羅 (大盒),588.0,22.4,50.4,33.6,日式
天婦羅 (100g),420.0,16.0,36.0,24.0,日式
天婦羅 (150g),630.0,24.0,54.0,36.0,日式
天婦羅 (200g),840.0,32.0,72.0,48.0,日式
天婦羅 (250g),1050.0,40.0,90.0,60.0,日式
天婦羅 (300g),1260.0,48.0,108.0,72.0,日式
炸蝦天婦羅 (半份),155.0,7.5,10.0,10.0,日式
炸蝦天婦羅 (小份),232.5,11.2,15.0,15.0,日式
炸蝦天婦羅 (1份),310.0,15.0,20.0,20.0,日式
炸蝦天婦羅 (1.25份),387.5,18.8,25.0,25.0,日式
炸蝦天婦羅 (1.5份),465.0,22.5,30.0,30.0,日式
炸蝦天婦羅 (2份),620.0,30.0,40.0,40.0,日式
炸蝦天婦羅 (2.5份),775.0,37.5,50.0,50.0,日式
炸蝦天婦羅 (3份),930.0,45.0,60.0,60.0,日式
炸蝦天婦羅 (小碗),232.5,11.2,15.0,15.0,日式
炸蝦天婦羅 (中碗),310.0,15.0,20.0,20.0,日式
炸蝦天婦羅 (大碗),418.5,20.2,27.0,27.0,日式
炸蝦天婦羅 (小杯),232.5,11.2,15.0,15.0,日式
炸蝦天婦羅 (中杯),310.0,15.0,20.0,20.0,日式
炸蝦天婦羅 (大杯),434.0,21.0,28.0,28.0,日式
